ID,DexID,Name,Type1,Type2,Rank,Starter,HP,Height,Weight,Attributes,Abilities,Learnset,Description,Img,Thumb,Exclude
11,#008,Wartortle,Water,,Amateur,False,4,0,0,"Strength,2,4,Dexterity,2,4,Vitality,2,5,Special,2,4,Insight,2,5","Torrent,Rain Dish","Tackle,0,Tail Whip,0,Water Gun,1,Withdraw,1,Bubble,2,Bite,2,Rapid Spin,2,Protect,2,Water Pulse,2,Aqua Tail,2,Skull Bash,3,Iron Defense,3,Rain Dance,3,Hydro Pump,3,Mud Sport,4,Water Pledge,4,Icy Wind,4",,008_Wartortle_Dream.png,,False
12,#009,Blastoise,Water,,Ace,False,5,0,0,"Strength,2,5,Dexterity,2,5,Vitality,3,6,Special,2,5,Insight,3,6","Torrent,Rain Dish","Tail Whip,0,Tackle,0,Withdraw,1,Water Gun,1,Rapid Spin,2,Bubble,2,Bite,2,Flash Cannon,2,Protect,2,Water Pulse,2,Aqua Tail,2,Skull Bash,3,Iron Defense,3,Rain Dance,3,Hydro Pump,3,Zap Cannon,4,Outrage,4,Hydro Cannon,4",,009_Blastoise_Dream.png,,False
13,#009M,Mega-Blastoise,Water,,Pro,False,6,0,0,"Strength,3,6,Dexterity,2,5,Vitality,3,7,Special,3,6,Insight,3,6",Mega Launcher,"Tail Whip,0,Tackle,0,Withdraw,1,Water Gun,1,Rapid Spin,2,Bubble,2,Bite,2,Flash Cannon,2,Protect,2,Water Pulse,2,Aqua Tail,2,Skull Bash,3,Iron Defense,3,Rain Dance,3,Hydro Pump,3,Zap Cannon,4,Outrage,4,Hydro Cannon,4",,009M_Blastoise_Mega_Dream.png,,False
14,#010,Caterpie,Bug,,Starter,True,3,0,0,"Strength,1,3,Dexterity,2,4,Vitality,1,3,Special,1,3,Insight,1,3","Shield Dust,Run Away","Tackle,0,String Shot,0,Bug Bite,1,Electroweb,2",,010_Caterpie_Dream.png,,False
15,#011,Metapod,Bug,,Beginner,True,4,0,0,"Strength,1,3,Dexterity,1,3,Vitality,2,4,Special,1,3,Insight,1,3",Shed Skin,"Harden,0,Iron Defense,2,Electroweb,2",,011_Metapod_Dream.png,,False
16,#012,Butterfree,Bug,Flying,Amateur,False,5,0,0,"Strength,2,4,Dexterity,2,5,Vitality,2,4,Special,2,5,Insight,2,5","Compound Eyes,Tinted Lens","Confusion,0,Gust,0,Stun Spore,1,Sleep Powder,1,Poison Powder,1,Supersonic,2,Whirlwind,2,Psybeam,2,Silver Wind,2,Tailwind,2,Rage Powder,2,Captivate,2,Safeguard,3,Electroweb,3,Air Slash,3,Quiver Dance,3,Nightmare,4,Signal Beam,4,Bug Buzz,4",,012_Butterfree_Dream.png,,False
17,#013,Weedle,Bug,Poison,Starter,True,3,0,0,"Strength,1,3,Dexterity,2,4,Vitality,1,3,Special,1,3,Insight,1,3","Shield Dust,Run Away","Poison Sting,0,String Shot,0,Bug Bite,1,Electroweb,2",,013_Weedle_Dream.png,,False
18,#014,Kakuna,Bug,Poison,Beginner,True,4,0,0,"Strength,1,3,Dexterity,1,3,Vitality,2,4,Special,1,3,Insight,1,3",Shed Skin,"Harden,0,Iron Defense,2,Electroweb,2",,014_Kakuna_Dream.png,,False
19,#015,Beedrill,Bug,Poison,Amateur,False,5,0,0,"Strength,2,5,Dexterity,2,5,Vitality,2,4,Special,2,4,Insight,2,5","Swarm,Sniper","Fury Attack,0,Focus Energy,1,Twineedle,1,Rage,2,Pursuit,2,Venoshock,2,Toxic Spikes,2,Pin Missile,2,Agility,2,Assurance,3,Poison Jab,3,Ominous Wind,3,Fell Stinger,3,Drill Run,4,Tailwind,4,Endeavor,4",,015_Beedrill_Dream.png,,False
20,#015M,Mega-Beedrill,Bug,Poison,Ace,False,6,0,0,"Strength,4,8,Dexterity,4,8,Vitality,1,3,Special,1,2,Insight,2,5",Adaptability,"Fury Attack,0,Focus Energy,1,Twineedle,1,Rage,2,Pursuit,2,Venoshock,2,Toxic Spikes,2,Pin Missile,2,Agility,2,Assurance,3,Poison Jab,3,Ominous Wind,3,Fell Stinger,3,Drill Run,4,Tailwind,4,Endeavor,4",,015M_Beedrill_Mega_Dream.png,,False
21,#016,Pidgey,Normal,Flying,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,4,Vitality,1,3,Special,1,3,Insight,1,3","Keen Eye,Tangled Feet,Big Pecks","Tackle,0,Sand Attack,0,Gust,1,Twister,1,Whirlwind,2,Quick Attack,2,Feather Dance,2,Agility,2,Wing Attack,2,Mirror Move,2,Tailwind,3,Roost,3,Air Slash,3,Hurricane,3,Feint Attack,4,Uproar,4,Steel Wing,4",,016_Pidgey_Dream.png,,False
22,#017,Pidgeotto,Normal,Flying,Amateur,False,4,0,0,"Strength,2,4,Dexterity,2,5,Vitality,2,4,Special,2,4,Insight,2,4","Keen Eye,Tangled Feet,Big Pecks","Tackle,0,Sand Attack,0,Gust,1,Twister,1,Whirlwind,2,Quick Attack,2,Feather Dance,2,Agility,2,Wing Attack,2,Mirror Move,2,Tailwind,3,Roost,3,Air Slash,3,Hurricane,4,Feint Attack,3,Uproar,4,Steel Wing,4",,017_Pidgeotto_Dream.png,,False
23,#018,Pidgeot,Normal,Flying,Ace,False,5,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,5,Special,2,5,Insight,2,5","Keen Eye,Tangled Feet,Big Pecks","Sand Attack,0,Tackle,0,Twister,1,Gust,1,Quick Attack,2,Whirlwind,2,Ominous Wind,2,Feather Dance,2,Agility,2,Wing Attack,2,Mirror Move,2,Roost,3,Tailwind,3,Heat Wave,4,Hurricane,4,Reflect,4",,018_Pidgeot_Dream.png,,False
24,#018M,Mega-Pidgeot,Normal,Flying,Pro,False,6,0,0,"Strength,2,5,Dexterity,3,7,Vitality,2,5,Special,3,7,Insight,2,5",No Guard,"Sand Attack,0,Tackle,0,Twister,1,Gust,1,Quick Attack,2,Whirlwind,2,Ominous Wind,2,Feather Dance,2,Agility,2,Wing Attack,2,Mirror Move,2,Roost,3,Tailwind,3,Heat Wave,4,Hurricane,4,Reflect,4",,018M_Pidgeot_Mega_Dream.png,,False
25,#019,Rattata,Normal,,Starter,True,3,0,0,"Strength,2,4,Dexterity,2,5,Vitality,1,3,Special,1,3,Insight,1,3","Run Away,Guts,Hustle","Tackle,0,Tail Whip,0,Quick Attack,1,Focus Energy,1,Bite,1,Pursuit,2,Hyper Fang,2,Sucker Punch,2,Assurance,2,Crunch,3,Super Fang,3,Double-Edge,3,Endeavor,3,Flame Wheel,4,Screech,4,Iron Tail,4",,019_Rattata_Dream.png,,False
26,#019A,Alolan Rattata,Dark,Normal,Starter,True,3,0,0,"Strength,2,4,Dexterity,2,5,Vitality,1,3,Special,1,3,Insight,1,3","Gluttony,Hustle,Thick Fat","Tackle,0,Tail Whip,0,Quick Attack,1,Focus Energy,1,Bite,1,Pursuit,2,Hyper Fang,2,Sucker Punch,2,Assurance,2,Crunch,3,Super Fang,3,Double-Edge,3,Endeavor,3,Reversal,4,Snatch,4,Switcheroo,4",,019A_Rattata_Alola_Dream.png,,False
27,#020,Raticate,Normal,,Amateur,False,4,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,4,Special,2,4,Insight,2,5","Run Away,Guts,Hustle","Tail Whip,0,Tackle,0,Focus Energy,1,Quick Attack,1,Pursuit,2,Bite,1,Flame Wheel,2,Hyper Fang,2,Sucker Punch,2,Scary Face,2,Assurance,2,Crunch,3,Double-Edge,3,Super Fang,3,Endeavor,3,Swords Dance,4,Last Resort,4,Final Gambit,4",,020_Raticate_Dream.png,,False
28,#020A,Alolan Raticate,Dark,Normal,Amateur,False,4,0,0,"Strength,2,5,Dexterity,2,5,Vitality,2,5,Special,1,3,Insight,2,5","Gluttony,Hustle,Thick Fat","Tail Whip,0,Tackle,0,Focus Energy,1,Quick Attack,1,Pursuit,2,Bite,1,Scary Face,2,Sucker Punch,2,Hyper Fang,2,Assurance,2,Crunch,3,Double-Edge,3,Super Fang,3,Swords Dance,3,Endeavor,3,Stockpile,4,Swallow,4,Me First,4",,020A_Raticate_Alola_Dream.png,,False
29,#021,Spearow,Normal,Flying,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,5,Vitality,1,3,Special,1,3,Insight,1,3","Keen Eye,Sniper","Peck,0,Growl,0,Leer,1,Fury Attack,1,Pursuit,2,Aerial Ace,2,Assurance,2,Focus Energy,2,Mirror Move,2,Agility,2,Roost,3,Drill Peck,3,Tailwind,4,Scary Face,4,Feather Dance,4",,021_Spearow_Dream.png,,False
30,#022,Fearow,Normal,Flying,Amateur,False,4,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,4,Special,2,4,Insight,2,4","Keen Eye,Sniper","Peck,0,Growl,0,Leer,1,Fury Attack,1,Pursuit,2,Aerial Ace,2,Assurance,2,Focus Energy,2,Mirror Move,2,Agility,2,Roost,3,Drill Peck,3,Sky Attack,4,Scary Face,4,Curse,4,Drill Run,3,Pluck,3",,022_Fearow_Dream.png,,False
31,#023,Ekans,Poison,,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,4,Vitality,1,3,Special,1,3,Insight,2,4","Intimidate,Shed Skin,Unnerve","Wrap,0,Leer,0,Poison Sting,1,Bite,1,Glare,1,Screech,2,Acid,2,Stockpile,2,Spit Up,2,Swallow,2,Acid Spray,2,Mud Bomb,2,Gastro Acid,3,Belch,3,Haze,3,Coil,3,Gunk Shot,3,Aqua Tail,4,Scary Face,4,Disable,4",,023_Ekans_Dream.png,,False
32,#024,Arbok,Poison,,Amateur,False,5,0,0,"Strength,3,6,Dexterity,2,5,Vitality,2,5,Special,2,4,Insight,2,5","Intimidate,Shed Skin,Unnerve","Leer,0,Wrap,0,Bite,1,Poison Sting,1,Glare,1,Screech,2,Acid,2,Ice Fang,2,Thunder Fang,2,Fire Fang,2,Crunch,2,Stockpile,2,Spit Up,2,Swallow,2,Acid Spray,2,Mud Bomb,2,Gastro Acid,3,Belch,3,Haze,3,Coil,3,Gunk Shot,3,Spite,3,Aqua Tail,4,Iron Tail,4",,024_Arbok_Dream.png,,False
33,#025,Pikachu,Electric,,Beginner,True,4,0,0,"Strength,2,4,Dexterity,2,5,Vitality,1,3,Special,2,4,Insight,2,4","Static,Lightning Rod","Thunder Shock,0,Tail Whip,0,Growl,1,Play Nice,1,Quick Attack,1,Thunder Wave,1,Electro Ball,2,Double Team,2,Nuzzle,2,Slam,2,Spark,2,Thunderbolt,2,Feint,2,Agility,2,Discharge,3,Light Screen,3,Thunder,3,Wild Charge,3,Surf,4,Volt Tackle,4,Extreme Speed,4",,025_Pikachu_Dream.png,,False
34,#026,Raichu,Electric,,Amateur,False,5,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,4,Special,3,6,Insight,2,5","Static,Lightning Rod","Thunder Shock,0,Tail Whip,0,Quick Attack,1,Thunderbolt,2,Fake Out,3,Wish,4,Volt Tackle,4",,026_Raichu_Dream.png,,False
35,#026A,Alolan Raichu,Electric,Psychic,Amateur,False,5,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,4,Special,3,6,Insight,2,5",Surge Surfer,"Thunder Shock,0,Tail Whip,0,Quick Attack,2,Thunderbolt,2,Psychic,2,Speed Swap,3,Electric Terrain,3,Reflect,4,Volt Tackle,4",,026A_Raichu_Alola_Dream.png,,False
36,#027,Sandshrew,Ground,,Beginner,True,3,0,0,"Strength,2,5,Dexterity,1,3,Vitality,2,5,Special,1,3,Insight,1,3","Sand Veil,Sand Rush","Scratch,0,Defense Curl,0,Sand Attack,1,Poison Sting,1,Rollout,1,Rapid Spin,2,Swift,2,Fury Cutter,2,Magnitude,2,Fury Swipes,2,Sand Tomb,2,Dig,2,Slash,3,Gyro Ball,3,Swords Dance,3,Sandstorm,3,Earthquake,3,Stealth Rock,4,Bulldoze,4,Metal Claw,4",,027_Sandshrew_Dream.png,,False
37,#027A,Alolan Sandshrew,Ice,Steel,Beginner,True,3,0,0,"Strength,2,5,Dexterity,1,3,Vitality,2,5,Special,1,2,Insight,1,3","Snow Cloak,Slush Rush","Scratch,0,Defense Curl,0,Bide,1,Powder Snow,1,Ice Ball,2,Rapid Spin,2,Fury Cutter,2,Metal Claw,2,Swift,2,Fury Swipes,2,Iron Defense,2,Slash,3,Iron Head,3,Gyro Ball,3,Swords Dance,3,Hail,3,Blizzard,3,Chip Away,4,Counter,4,Aerial Ace,4",,027A_Sandshrew_Alola_Dream.png,,False
38,#028,Sandslash,Ground,,Amateur,False,4,0,0,"Strength,3,6,Dexterity,2,4,Vitality,3,6,Special,2,4,Insight,2,4","Sand Veil,Sand Rush","Scratch,0,Defense Curl,0,Sand Attack,1,Poison Sting,1,Rollout,1,Rapid Spin,2,Swift,2,Fury Cutter,2,Magnitude,2,Fury Swipes,2,Crush Claw,2,Sand Tomb,2,Dig,2,Slash,3,Gyro Ball,3,Swords Dance,3,Night Slash,3,Earthquake,3,Sandstorm,3,Stealth Rock,4,Counter,4",,028_Sandslash_Dream.png,,False
39,#028A,Alolan Sandslash,Ice,Steel,Amateur,False,4,0,0,"Strength,3,6,Dexterity,2,4,Vitality,3,7,Special,1,3,Insight,2,4","Snow Cloak,Slush Rush","Icicle Spear,0,Metal Burst,1,Icicle Crash,2,Slash,2,Defense Curl,2,Ice Ball,2,Metal Claw,3,Chip Away,3,Counter,4,Aurora Veil,4",,028A_Sandslash_Alola_Dream.png,,False
40,#029,Nidoran F,Poison,,Beginner,True,3,0,0,"Strength,2,4,Dexterity,1,3,Vitality,2,4,Special,1,3,Insight,1,3","Poison Point,Rivalry,Hustle","Scratch,0,Growl,0,Tail Whip,1,Double Kick,1,Poison Sting,1,Fury Swipes,2,Bite,2,Helping Hand,2,Toxic Spikes,2,Poison Fang,2,Flatter,3,Captivate,3,Crunch,3,Lovely Kiss,4,Moonlight,4,Charm,4",,029_Nidoran_Dream.png,,False
41,#030,Nidorina,Poison,,Amateur,False,4,0,0,"Strength,2,4,Dexterity,2,4,Vitality,2,4,Special,2,4,Insight,2,4","Poison Point,Rivalry,Hustle","Scratch,0,Growl,0,Tail Whip,1,Double Kick,1,Poison Sting,1,Fury Swipes,2,Bite,2,Helping Hand,2,Toxic Spikes,2,Poison Fang,2,Flatter,3,Captivate,3,Crunch,3,Lovely Kiss,4,Moonlight,4,Charm,4",,030_Nidorina_Dream.png,,False
42,#031,Nidoqueen,Poison,Ground,Ace,False,5,0,0,"Strength,3,6,Dexterity,2,5,Vitality,2,5,Special,2,5,Insight,2,5","Poison Point,Rivalry,Sheer Force","Scratch,0,Growl,1,Tail Whip,1,Double Kick,1,Poison Sting,2,Chip Away,2,Body Slam,2,Earth Power,3,Poison Tail,3,Shock Wave,3,Superpower,4,Icy Wind,4",,031_Nidoqueen_Dream.png,,False
43,#032,Nidoran M,Poison,,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,4,Vitality,1,3,Special,1,3,Insight,1,3","Poison Point,Rivalry,Hustle","Peck,0,Leer,0,Focus Energy,1,Double Kick,1,Poison Sting,1,Fury Attack,2,Horn Attack,2,Helping Hand,2,Toxic Spikes,2,Poison Jab,2,Flatter,3,Captivate,3,Horn Drill,3,Lovely Kiss,4,Morning Sun,4,Confusion,4",,032_Nidoran_Dream.png,,False
44,#033,Nidorino,Poison,,Amateur,False,4,0,0,"Strength,2,5,Dexterity,2,4,Vitality,2,4,Special,2,4,Insight,2,4","Poison Point,Rivalry,Hustle","Peck,0,Leer,0,Focus Energy,1,Double Kick,1,Poison Sting,1,Fury Attack,2,Horn Attack,2,Helping Hand,2,Toxic Spikes,2,Poison Jab,2,Flatter,3,Captivate,3,Horn Drill,3,Lovely Kiss,4,Morning Sun,4,Smart Strike,4",,033_Nidorino_Dream.png,,False
45,#034,Nidoking,Poison,Ground,Ace,False,5,0,0,"Strength,3,6,Dexterity,2,5,Vitality,2,5,Special,2,5,Insight,2,5","Poison Point,Rivalry,Sheer Force","Peck,0,Poison Sting,1,Focus Energy,1,Double Kick,1,Chip Away,2,Earth Power,2,Drill Run,3,Megahorn,3,Poison Tail,4,Thrash,4,Head Smash,4",,034_Nidoking_Dream.png,,False
46,#035,Clefairy,Fairy,,Beginner,True,4,0,0,"Strength,2,4,Dexterity,1,3,Vitality,2,4,Special,2,4,Insight,2,4","Cute Charm,Magic Guard,Friend Guard","Growl,0,Pound,0,Sing,1,Disarming Voice,1,Double Slap,1,Encore,1,Defense Curl,1,Metronome,2,Bestow,2,Follow Me,2,Minimize,2,Wake-Up Slap,2,After You,2,Stored Power,2,Spotlight,2,Cosmic Power,2,Lucky Chant,2,Body Slam,3,Moonlight,3,Moonblast,3,Gravity,3,Meteor Mash,3,Healing Wish,3,Swift,4,Heal Bell,4,Heal Pulse,4",,035_Clefairy_Dream.png,,False
47,#036,Clefable,Fairy,,Amateur,False,5,0,0,"Strength,2,5,Dexterity,2,4,Vitality,2,5,Special,3,6,Insight,2,5","Cute Charm,Magic Guard,Unaware","Spotlight,1,Sing,1,Moonblast,2,Minimize,2,Double Slap,2,Drain Punch,3,Metronome,3,Heal Pulse,4,Wish,4",,036_Clefable_Dream.png,,False
48,#037,Vulpix,Fire,,Beginner,True,3,0,0,"Strength,1,3,Dexterity,2,4,Vitality,1,3,Special,2,4,Insight,2,4","Flash Fire,Drought","Ember,0,Tail Whip,0,Roar,1,Baby-Doll Eyes,1,Quick Attack,1,Fire Spin,2,Confuse Ray,2,Imprison,2,Feint Attack,2,Flame Burst,2,Will-O-Wisp,2,Hex,2,Payback,2,Extrasensory,2,Safeguard,3,Flamethrower,3,Captivate,3,Grudge,3,Fire Blast,3,Inferno,3,Pain Split,4,Spite,4,Heat Wave,4",,037_Vulpix_Dream.png,,False
49,#037A,Alolan Vulpix,Ice,,Beginner,True,3,0,0,"Strength,1,3,Dexterity,2,4,Vitality,1,3,Special,2,4,Insight,2,4","Snow Cloak,Snow Warning","Powder Snow,0,Tail Whip,0,Roar,1,Baby-Doll Eyes,1,Ice Shard,1,Confuse Ray,2,Icy Wind,2,Payback,2,Mist,2,Feint Attack,2,Imprison,2,Aurora Beam,2,Extrasensory,2,Ice Beam,3,Safeguard,3,Captivate,3,Grudge,3,Blizzard,3,Sheer Cold,3,Moonblast,4,Spite,4,Freeze Dry,4,Hex,2",,037A_Vulpix_Alola_Dream.png,,False
50,#038,Ninetales,Fire,,Amateur,False,4,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,5,Special,2,5,Insight,3,6","Flash Fire,Drought","Imprison,2,Nasty Plot,2,Flamethrower,2,Confuse Ray,2,Quick Attack,2,Safeguard,3,Hypnosis,3,Pain Split,4,Heat Wave,4",,038_Ninetales_Dream.png,,False
51,#038A,Alolan Ninetales,Ice,,Amateur,False,4,0,0,"Strength,2,4,Dexterity,3,6,Vitality,2,5,Special,2,5,Insight,3,6","Snow Cloak,Snow Warning","Dazzling Gleam,2,Imprison,2,Nasty Plot,2,Ice Beam,2,Ice Shard,2,Confuse Ray,2,Safeguard,3,Agility,3,Moonblast,4,Aurora Veil,4",,038A_Ninetales_Alola_Dream.png,,False
52,#039,Jigglypuff,Normal,Fairy,Beginner,True,4,0,0,"Strength,2,4,Dexterity,1,3,Vitality,1,3,Special,2,4,Insight,1,3","Cute Charm,Competitive,Friend Guard","Sing,0,Pound,0,Defense Curl,1,Play Nice,1,Round,1,Disable,2,Rollout,2,Double Slap,2,Stockpile,2,Spit Up,2,Swallow,2,Disarming Voice,2,Body Slam,2,Gyro Ball,3,Wake-Up Slap,3,Rest,3,Hyper Voice,3,Mimic,4,Double-Edge,4,Heal Pulse,4",,039_Jigglypuff_Dream.png,,False
53,#040,Wigglytuff,Normal,Fairy,Amateur,False,7,0,0,"Strength,2,5,Dexterity,2,4,Vitality,2,4,Special,2,5,Insight,2,4","Cute Charm,Competitive,Frisk","Double Slap,2,Play Rough,2,Sing,2,Disable,2,Defense Curl,2,Double-Edge,3,Fake Tears,3,Scary Face,4,Heal Pulse,4",,040_Wigglytuff_Dream.png,,False
54,#041,Zubat,Poison,Flying,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,4,Vitality,1,3,Special,1,3,Insight,1,3","Inner Focus,Infiltrator","Absorb,0,Supersonic,1,Astonish,1,Bite,2,Wing Attack,2,Confuse Ray,2,Air Cutter,2,Swift,2,Poison Fang,2,Mean Look,2,Leech Life,2,Acrobatics,3,Haze,3,Venoshock,3,Air Slash,3,Quick Guard,3,Nasty Plot,4,Super Fang,4,Venom Drench,4",,041_Zubat_Dream.png,,False
55,#042,Golbat,Poison,Flying,Amateur,False,4,0,0,"Strength,2,5,Dexterity,2,5,Vitality,2,5,Special,2,4,Insight,2,5","Inner Focus,Infiltrator","Absorb,0,Wing Attack,1,Supersonic,1,Astonish,1,Bite,2,Screech,2,Confuse Ray,2,Air Cutter,2,Swift,2,Poison Fang,2,Mean Look,2,Leech Life,2,Acrobatics,3,Haze,3,Venoshock,3,Air Slash,3,Quick Guard,3,Nasty Plot,4,Super Fang,4,Venom Drench,4",,042_Golbat_Dream.png,,False
56,#043,Oddish,Grass,Poison,Beginner,True,3,0,0,"Strength,2,4,Dexterity,1,3,Vitality,2,4,Special,2,5,Insight,2,4","Chlorophyll,Run Away","Growth,0,Absorb,0,Sweet Scent,1,Acid,1,Poison Powder,2,Stun Spore,2,Sleep Powder,2,Mega Drain,2,Lucky Chant,2,Natural Gift,2,Moonlight,2,Giga Drain,3,Petal Dance,3,Moonblast,3,Grassy Terrain,3,Charm,4,Gastro Acid,4,Endure,4",,043_Oddish_Dream.png,,False
57,#044,Gloom,Grass,Poison,Amateur,False,4,0,0,"Strength,2,4,Dexterity,2,3,Vitality,2,5,Special,2,5,Insight,2,5","Chlorophyll,Stench","Growth,0,Absorb,0,Sweet Scent,1,Acid,1,Poison Powder,1,Stun Spore,2,Sleep Powder,2,Mega Drain,2,Lucky Chant,2,Natural Gift,2,Toxic,2,Moonlight,2,Giga Drain,3,Petal Blizzard,3,Petal Dance,3,Grassy Terrain,3",,044_Gloom_Dream.png,,False
58,#045,Vileplume,Grass,Poison,Amateur,False,5,0,0,"Strength,2,5,Dexterity,2,4,Vitality,2,5,Special,3,6,Insight,2,5","Chlorophyll,Effect Spore","Mega Drain,0,Aromatherapy,1,Poison Powder,1,Stun Spore,2,Petal Dance,2,Petal Blizzard,3,Solar Beam,3,Swords Dance,4,Seed Bomb,4,Drain Punch,4",,045_Vileplume_Dream.png,,False
