ID,Moves,Ranks
13,"Tail Whip,Tackle,Withdraw,Water Gun,Rapid Spin,Bubble,Bite,Flash Cannon,Protect,Water Pulse,Aqua Tail,Skull Bash,Iron Defense,Rain Dance,Hydro Pump,Zap Cannon,Outrage,Hydro Cannon","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
14,"Tackle,String Shot,Bug Bite,Electroweb","0,0,1,2"
15,"Harden,Iron Defense,Electroweb","0,2,2"
16,"Confusion,Gust,Stun Spore,Sleep Powder,Poison Powder,Supersonic,Whirlwind,Psybeam,Silver Wind,Tailwind,Rage Powder,Captivate,Safeguard,Electroweb,Air Slash,Quiver Dance,Nightmare,Signal Beam,Bug Buzz","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
17,"Poison Sting,String Shot,Bug Bite,Electroweb","0,0,1,2"
18,"Harden,Iron Defense,Electroweb","0,2,2"
19,"Fury Attack,Focus Energy,Twineedle,Rage,Pursuit,Venoshock,Toxic Spikes,Pin Missile,Agility,Assurance,Poison Jab,Ominous Wind,Fell Stinger,Drill Run,Tailwind,Endeavor","0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
20,"Fury Attack,Focus Energy,Twineedle,Rage,Pursuit,Venoshock,Toxic Spikes,Pin Missile,Agility,Assurance,Poison Jab,Ominous Wind,Fell Stinger,Drill Run,Tailwind,Endeavor","0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
21,"Tackle,Sand Attack,Gust,Twister,Whirlwind,Quick Attack,Feather Dance,Agility,Wing Attack,Mirror Move,Tailwind,Roost,Air Slash,Hurricane,Feint Attack,Uproar,Steel Wing","0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
22,"Tackle,Sand Attack,Gust,Twister,Whirlwind,Quick Attack,Feather Dance,Agility,Wing Attack,Mirror Move,Tailwind,Roost,Air Slash,Hurricane,Feint Attack,Uproar,Steel Wing","0,0,1,1,2,2,2,2,2,2,3,3,3,4,3,4,4"
23,"Sand Attack,Tackle,Twister,Gust,Quick Attack,Whirlwind,Ominous Wind,Feather Dance,Agility,Wing Attack,Mirror Move,Roost,Tailwind,Heat Wave,Hurricane,Reflect","0,0,1,1,2,2,2,2,2,2,2,3,3,4,4,4"
24,"Sand Attack,Tackle,Twister,Gust,Quick Attack,Whirlwind,Ominous Wind,Feather Dance,Agility,Wing Attack,Mirror Move,Roost,Tailwind,Heat Wave,Hurricane,Reflect","0,0,1,1,2,2,2,2,2,2,2,3,3,4,4,4"
25,"Tackle,Tail Whip,Quick Attack,Focus Energy,Bite,Pursuit,Hyper Fang,Sucker Punch,Assurance,Crunch,Super Fang,Double-Edge,Endeavor,Flame Wheel,Screech,Iron Tail","0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4"
26,"Tackle,Tail Whip,Quick Attack,Focus Energy,Bite,Pursuit,Hyper Fang,Sucker Punch,Assurance,Crunch,Super Fang,Double-Edge,Endeavor,Reversal,Snatch,Switcheroo","0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,4"
27,"Tail Whip,Tackle,Focus Energy,Quick Attack,Pursuit,Bite,Flame Wheel,Hyper Fang,Sucker Punch,Scary Face,Assurance,Crunch,Double-Edge,Super Fang,Endeavor,Swords Dance,Last Resort,Final Gambit","0,0,1,1,2,1,2,2,2,2,2,3,3,3,3,4,4,4"
28,"Tail Whip,Tackle,Focus Energy,Quick Attack,Pursuit,Bite,Scary Face,Sucker Punch,Hyper Fang,Assurance,Crunch,Double-Edge,Super Fang,Swords Dance,Endeavor,Stockpile,Swallow,Me First","0,0,1,1,2,1,2,2,2,2,3,3,3,3,3,4,4,4"
29,"Peck,Growl,Leer,Fury Attack,Pursuit,Aerial Ace,Assurance,Focus Energy,Mirror Move,Agility,Roost,Drill Peck,Tailwind,Scary Face,Feather Dance","0,0,1,1,2,2,2,2,2,2,3,3,4,4,4"
30,"Peck,Growl,Leer,Fury Attack,Pursuit,Aerial Ace,Assurance,Focus Energy,Mirror Move,Agility,Roost,Drill Peck,Sky Attack,Scary Face,Curse,Drill Run,Pluck","0,0,1,1,2,2,2,2,2,2,3,3,4,4,4,3,3"
31,"Wrap,Leer,Poison Sting,Bite,Glare,Screech,Acid,Stockpile,Spit Up,Swallow,Acid Spray,Mud Bomb,Gastro Acid,Belch,Haze,Coil,Gunk Shot,Aqua Tail,Scary Face,Disable","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
32,"Leer,Wrap,Bite,Poison Sting,Glare,Screech,Acid,Ice Fang,Thunder Fang,Fire Fang,Crunch,Stockpile,Spit Up,Swallow,Acid Spray,Mud Bomb,Gastro Acid,Belch,Haze,Coil,Gunk Shot,Spite,Aqua Tail,Iron Tail","0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4"
33,"Thunder Shock,Tail Whip,Growl,Play Nice,Quick Attack,Thunder Wave,Electro Ball,Double Team,Nuzzle,Slam,Spark,Thunderbolt,Feint,Agility,Discharge,Light Screen,Thunder,Wild Charge,Surf,Volt Tackle,Extreme Speed","0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
34,"Thunder Shock,Tail Whip,Quick Attack,Thunderbolt,Fake Out,Wish,Volt Tackle","0,0,1,2,3,4,4"
35,"Thunder Shock,Tail Whip,Quick Attack,Thunderbolt,Psychic,Speed Swap,Electric Terrain,Reflect,Volt Tackle","0,0,2,2,2,3,3,4,4"
36,"Scratch,Defense Curl,Sand Attack,Poison Sting,Rollout,Rapid Spin,Swift,Fury Cutter,Magnitude,Fury Swipes,Sand Tomb,Dig,Slash,Gyro Ball,Swords Dance,Sandstorm,Earthquake,Stealth Rock,Bulldoze,Metal Claw","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
37,"Scratch,Defense Curl,Bide,Powder Snow,Ice Ball,Rapid Spin,Fury Cutter,Metal Claw,Swift,Fury Swipes,Iron Defense,Slash,Iron Head,Gyro Ball,Swords Dance,Hail,Blizzard,Chip Away,Counter,Aerial Ace","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
38,"Scratch,Defense Curl,Sand Attack,Poison Sting,Rollout,Rapid Spin,Swift,Fury Cutter,Magnitude,Fury Swipes,Crush Claw,Sand Tomb,Dig,Slash,Gyro Ball,Swords Dance,Night Slash,Earthquake,Sandstorm,Stealth Rock,Counter","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4"
39,"Icicle Spear,Metal Burst,Icicle Crash,Slash,Defense Curl,Ice Ball,Metal Claw,Chip Away,Counter,Aurora Veil","0,1,2,2,2,2,3,3,4,4"
40,"Scratch,Growl,Tail Whip,Double Kick,Poison Sting,Fury Swipes,Bite,Helping Hand,Toxic Spikes,Poison Fang,Flatter,Captivate,Crunch,Lovely Kiss,Moonlight,Charm","0,0,1,1,1,2,2,2,2,2,3,3,3,4,4,4"
41,"Scratch,Growl,Tail Whip,Double Kick,Poison Sting,Fury Swipes,Bite,Helping Hand,Toxic Spikes,Poison Fang,Flatter,Captivate,Crunch,Lovely Kiss,Moonlight,Charm","0,0,1,1,1,2,2,2,2,2,3,3,3,4,4,4"
42,"Scratch,Growl,Tail Whip,Double Kick,Poison Sting,Chip Away,Body Slam,Earth Power,Poison Tail,Shock Wave,Superpower,Icy Wind","0,1,1,1,2,2,2,3,3,3,4,4"
43,"Peck,Leer,Focus Energy,Double Kick,Poison Sting,Fury Attack,Horn Attack,Helping Hand,Toxic Spikes,Poison Jab,Flatter,Captivate,Horn Drill,Lovely Kiss,Morning Sun,Confusion","0,0,1,1,1,2,2,2,2,2,3,3,3,4,4,4"
44,"Peck,Leer,Focus Energy,Double Kick,Poison Sting,Fury Attack,Horn Attack,Helping Hand,Toxic Spikes,Poison Jab,Flatter,Captivate,Horn Drill,Lovely Kiss,Morning Sun,Smart Strike","0,0,1,1,1,2,2,2,2,2,3,3,3,4,4,4"
45,"Peck,Poison Sting,Focus Energy,Double Kick,Chip Away,Earth Power,Drill Run,Megahorn,Poison Tail,Thrash,Head Smash","0,1,1,1,2,2,3,3,4,4,4"
46,"Growl,Pound,Sing,Disarming Voice,Double Slap,Encore,Defense Curl,Metronome,Bestow,Follow Me,Minimize,Wake-Up Slap,After You,Stored Power,Spotlight,Cosmic Power,Lucky Chant,Body Slam,Moonlight,Moonblast,Gravity,Meteor Mash,Healing Wish,Swift,Heal Bell,Heal Pulse","0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
47,"Spotlight,Sing,Moonblast,Minimize,Double Slap,Drain Punch,Metronome,Heal Pulse,Wish","1,1,2,2,2,3,3,4,4"
48,"Ember,Tail Whip,Roar,Baby-Doll Eyes,Quick Attack,Fire Spin,Confuse Ray,Imprison,Feint Attack,Flame Burst,Will-O-Wisp,Hex,Payback,Extrasensory,Safeguard,Flamethrower,Captivate,Grudge,Fire Blast,Inferno,Pain Split,Spite,Heat Wave","0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
49,"Powder Snow,Tail Whip,Roar,Baby-Doll Eyes,Ice Shard,Confuse Ray,Icy Wind,Payback,Mist,Feint Attack,Imprison,Aurora Beam,Extrasensory,Ice Beam,Safeguard,Captivate,Grudge,Blizzard,Sheer Cold,Moonblast,Spite,Freeze Dry,Hex","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,2"
50,"Imprison,Nasty Plot,Flamethrower,Confuse Ray,Quick Attack,Safeguard,Hypnosis,Pain Split,Heat Wave","2,2,2,2,2,3,3,4,4"
51,"Dazzling Gleam,Imprison,Nasty Plot,Ice Beam,Ice Shard,Confuse Ray,Safeguard,Agility,Moonblast,Aurora Veil","2,2,2,2,2,2,3,3,4,4"
52,"Sing,Pound,Defense Curl,Play Nice,Round,Disable,Rollout,Double Slap,Stockpile,Spit Up,Swallow,Disarming Voice,Body Slam,Gyro Ball,Wake-Up Slap,Rest,Hyper Voice,Mimic,Double-Edge,Heal Pulse","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
53,"Double Slap,Play Rough,Sing,Disable,Defense Curl,Double-Edge,Fake Tears,Scary Face,Heal Pulse","2,2,2,2,2,3,3,4,4"
54,"Absorb,Supersonic,Astonish,Bite,Wing Attack,Confuse Ray,Air Cutter,Swift,Poison Fang,Mean Look,Leech Life,Acrobatics,Haze,Venoshock,Air Slash,Quick Guard,Nasty Plot,Super Fang,Venom Drench","0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
55,"Absorb,Wing Attack,Supersonic,Astonish,Bite,Screech,Confuse Ray,Air Cutter,Swift,Poison Fang,Mean Look,Leech Life,Acrobatics,Haze,Venoshock,Air Slash,Quick Guard,Nasty Plot,Super Fang,Venom Drench","0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
56,"Growth,Absorb,Sweet Scent,Acid,Poison Powder,Stun Spore,Sleep Powder,Mega Drain,Lucky Chant,Natural Gift,Moonlight,Giga Drain,Petal Dance,Moonblast,Grassy Terrain,Charm,Gastro Acid,Endure","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
57,"Growth,Absorb,Sweet Scent,Acid,Poison Powder,Stun Spore,Sleep Powder,Mega Drain,Lucky Chant,Natural Gift,Toxic,Moonlight,Giga Drain,Petal Blizzard,Petal Dance,Grassy Terrain","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3"
58,"Mega Drain,Aromatherapy,Poison Powder,Stun Spore,Petal Dance,Petal Blizzard,Solar Beam,Swords Dance,Seed Bomb,Drain Punch","0,1,1,2,2,3,3,4,4,4"
59,"Scratch,Stun Spore,Poison Powder,Absorb,Fury Cutter,Spore,Slash,Growth,Giga Drain,Aromatherapy,Rage Powder,X-Scissor,Wide Guard,Rototiller,Leech Seed","0,0,1,1,2,2,2,2,2,3,3,3,4,4,4"
60,"Scratch,Stun Spore,Absorb,Poison Powder,Cross Poison,Fury Cutter,Spore,Slash,Growth,Giga Drain,Aromatherapy,Rage Powder,X-Scissor,Psybeam,Synthesis,Seed Bomb","0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
61,"Tackle,Foresight,Disable,Supersonic,Confusion,Poison Powder,Leech Life,Stun Spore,Psybeam,Poison Fang,Signal Beam,Zen Headbutt,Sleep Powder,Psychic,Agility,Baton Pass,Giga Drain","0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
62,"Foresight,Disable,Confusion,Supersonic,Silver Wind,Quiver Dance,Poison Fang,Poison Powder,Leech Life,Stun Spore,Psybeam,Sleep Powder,Signal Beam,Zen Headbutt,Bug Buzz,Psychic,Giga Drain,Morning Sun,Defog","0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
63,"Scratch,Sand Attack,Growl,Astonish,Mud Slap,Magnitude,Bulldoze,Sucker Punch,Mud Bomb,Earth Power,Dig,Slash,Earthquake,Fissure,Screech,Stealth Rock,Feint Attack","0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
64,"Sand Attack,Metal Claw,Growl,Astonish,Mud Slap,Magnitude,Bulldoze,Sucker Punch,Mud Bomb,Earth Power,Dig,Iron Head,Earthquake,Fissure,Feint Attack,Metal Sound,Thrash","0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
65,"Scratch,Sand Attack,Growl,Astonish,Mud Slap,Magnitude,Bulldoze,Earth Power,Mud Bomb,Rototiller,Dig,Tri Attack,Sand Tomb,Night Slash,Sucker Punch,Slash,Earthquake,Fissure,Rock Slide,Ancient Power,Stealth Rock","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
66,"Sand Attack,Metal Claw,Growl,Astonish,Mud Slap,Rototiller,Dig,Tri Attack,Sand Tomb,Magnitude,Bulldoze,Earth Power,Mud Bomb,Night Slash,Sucker Punch,Iron Head,Earthquake,Fissure,Ancient Power,Thrash,Stone Edge","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
67,"Scratch,Growl,Bite,Fake Out,Fury Swipes,Screech,Feint Attack,Taunt,Pay Day,Slash,Captivate,Assurance,Nasty Plot,Night Slash,Feint,Charm,Sing,Snatch","0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
68,"Scratch,Growl,Bite,Fake Out,Fury Swipes,Screech,Feint Attack,Taunt,Pay Day,Slash,Dark Pulse,Nasty Plot,Captivate,Night Slash,Feint,Assurance,Charm,Spite,Flatter","0,0,1,1,1,2,2,2,2,2,2,3,2,3,3,3,4,4,4"
69,"Fake Out,Growl,Scratch,Hone Claws,Pay Day,Metal Claw,Taunt,Swagger,Fury Swipes,Screech,Slash,Metal Sound,Thrash,Night Slash,Steel Beam,Curse","0,0,0,1,1,2,2,2,2,2,3,3,3,4,4,4"
70,"Scratch,Growl,Bite,Fake Out,Fury Swipes,Captivate,Play Rough,Screech,Feint Attack,Taunt,Swift,Power Gem,Slash,Switcheroo,Assurance,Nasty Plot,Night Slash,Feint,Hypnosis,Amnesia,Assist","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
71,"Scratch,Growl,Bite,Fake Out,Fury Swipes,Screech,Swift,Switcheroo,Play Rough,Captivate,Feint Attack,Taunt,Power Gem,Slash,Dark Pulse,Assurance,Nasty Plot,Night Slash,Feint,Quash,Parting Shot,Snarl,Torment","0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
72,"Water Sport,Scratch,Tail Whip,Water Gun,Disable,Confusion,Water Pulse,Fury Swipes,Screech,Zen Headbutt,Aqua Tail,Soak,Amnesia,Psych Up,Hydro Pump,Wonder Room,Clear Smog,Confuse Ray,Future Sight","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
73,"Water Sport,Scratch,Tail Whip,Water Gun,Disable,Confusion,Amnesia,Aqua Jet,Water Pulse,Fury Swipes,Screech,Soak,Zen Headbutt,Psych Up,Me First,Hydro Pump,Wonder Room,Tri Attack,Confuse Ray,Future Sight","0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
74,"Covet,Scratch,Low Kick,Leer,Focus Energy,Fury Swipes,Pursuit,Karate Chop,Seismic Toss,Screech,Assurance,Swagger,Cross Chop,Thrash,Punishment,Outrage,Close Combat,Final Gambit,Meditate,Dual Chop,Beat Up,Stomping Tantrum","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3"
75,"Scratch,Fling,Focus Energy,Leer,Swagger,Fury Swipes,Pursuit,Karate Chop,Seismic Toss,Screech,Assurance,Rage,Final Gambit,Cross Chop,Thrash,Stomping Tantrum,Punishment,Outrage,Close Combat,Night Slash,Meditate,Overheat","0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4"
76,"Roar,Bite,Ember,Leer,Odor Sleuth,Helping Hand,Flame Wheel,Reversal,Fire Fang,Take Down,Flame Burst,Agility,Retaliate,Flamethrower,Crunch,Heat Wave,Outrage,Flare Blitz,Howl,Close Combat,Charm","0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
77,"Roar,Bite,Odor Sleuth,Thunder Fang,Fire Fang,Burn Up,Extreme Speed,Morning Sun,Dragon Pulse,Wild Charge","0,0,1,2,2,3,3,4,4,4"
78,"Water Sport,Water Gun,Hypnosis,Bubble,Double Slap,Rain Dance,Body Slam,Bubble Beam,Mud Shot,Belly Drum,Wake-Up Slap,Hydro Pump,Mud Bomb,Icy Wind,Mind Reader,Refresh","0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,4"
79,"Water Sport,Water Gun,Hypnosis,Bubble,Double Slap,Rain Dance,Body Slam,Bubble Beam,Mud Shot,Belly Drum,Wake-Up Slap,Hydro Pump,Mud Bomb,Ice Punch,Mind Reader,Refresh","0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,4"
80,"Circle Throw,Hypnosis,Bubble Beam,Double Slap,Submission,Dynamic Punch,Mind Reader,Ice Punch,Seismic Toss,Counter","1,1,2,2,2,3,3,4,4,4"
81,"Teleport,Mimic,Signal Beam,Metronome","0,3,3,3"
82,"Teleport,Kinesis,Confusion,Disable,Miracle Eye,Ally Switch,Psybeam,Reflect,Telekinesis,Role Play,Psycho Cut,Recover,Psychic,Future Sight,Trick,Snatch,Foul Play,Wonder Room","0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
83,"Teleport,Kinesis,Confusion,Disable,Miracle Eye,Ally Switch,Psybeam,Reflect,Telekinesis,Role Play,Psycho Cut,Recover,Psychic,Future Sight,Trick,Snatch,Foul Play,Wonder Room","0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
84,"Teleport,Kinesis,Confusion,Disable,Miracle Eye,Ally Switch,Psybeam,Reflect,Telekinesis,Role Play,Psycho Cut,Recover,Psychic,Future Sight,Trick,Snatch,Foul Play,Wonder Room","0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
85,"Low Kick,Leer,Focus Energy,Karate Chop,Foresight,Low Sweep,Knock Off,Seismic Toss,Revenge,Vital Throw,Dual Chop,Submission,Wake-Up Slap,Bulk Up,Cross Chop,Scary Face,Dynamic Punch,Meditate,Bullet Punch,Ice Punch","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
86,"Low Kick,Leer,Focus Energy,Karate Chop,Foresight,Low Sweep,Knock Off,Seismic Toss,Revenge,Vital Throw,Dual Chop,Submission,Wake-Up Slap,Bulk Up,Cross Chop,Scary Face,Dynamic Punch,Meditate,Bullet Punch,Fire Punch","0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
87,"Low Kick,Strength,Leer,Foresight,Karate Chop,Focus Energy,Low Sweep,Wide Guard,Knock Off,Seismic Toss,Revenge,Vital Throw,Dual Chop,Submission,Wake-Up Slap,Bulk Up,Cross Chop,Scary Face,Dynamic Punch,Thunder Punch,Tickle,Close Combat","0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
88,"Vine Whip,Growth,Wrap,Sleep Powder,Poison Powder,Stun Spore,Acid,Knock Off,Sweet Scent,Gastro Acid,Razor Leaf,Slam,Poison Jab,Wring Out,Ingrain,Tickle,Weather Ball","0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
89,"Vine Whip,Growth,Wrap,Sleep Powder,Poison Powder,Stun Spore,Acid,Knock Off,Sweet Scent,Gastro Acid,Razor Leaf,Slam,Poison Jab,Wring Out,Ingrain,Tickle,Weather Ball","0,0,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4"
90,"Vine Whip,Swallow,Spit Up,Stockpile,Sleep Powder,Sweet Scent,Razor Leaf,Leaf Tornado,Leaf Storm,Leaf Blade,Belch,Power Whip,Synthesis","0,1,1,1,2,2,2,2,3,3,4,4,4"
91,"Poison Sting,Supersonic,Constrict,Acid,Toxic Spikes,Bubble Beam,Wrap,Acid Spray,Barrier,Water Pulse,Brine,Poison Jab,Screech,Hex,Hydro Pump,Sludge Wave,Wring Out,Aurora Beam,Confuse Ray,Magic Coat","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
92,"Poison Sting,Supersonic,Constrict,Acid,Brine,Poison Jab,Toxic Spikes,Bubble Beam,Wrap,Acid Spray,Barrier,Water Pulse,Reflect Type,Wring Out,Screech,Hex,Hydro Pump,Sludge Wave,Giga Drain,Mirror Coat,Aqua Ring","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4"
93,"Tackle,Defense Curl,Mud Sport,Rock Polish,Rollout,Magnitude,Rock Throw,Rock Blast,Smack Down,Self Destruct,Bulldoze,Stealth Rock,Earthquake,Explosion,Double-Edge,Stone Edge,Rock Climb,Wide Guard,Sucker Punch","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
94,"Tackle,Defense Curl,Charge,Rock Polish,Rollout,Spark,Rock Throw,Smack Down,Thunder Punch,Self Destruct,Stealth Rock,Rock Blast,Discharge,Explosion,Double-Edge,Stone Edge,Rock Climb,Wide Guard,Screech","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
95,"Tackle,Defense Curl,Mud Sport,Rock Polish,Rollout,Magnitude,Rock Throw,Rock Blast,Smack Down,Self Destruct,Bulldoze,Stealth Rock,Earthquake,Explosion,Double-Edge,Stone Edge,Rock Climb,Wide Guard,Sucker Punch","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
96,"Tackle,Defense Curl,Charge,Rock Polish,Rollout,Spark,Rock Throw,Smack Down,Thunder Punch,Self Destruct,Stealth Rock,Rock Blast,Discharge,Explosion,Double-Edge,Stone Edge,Rock Climb,Wide Guard,Screech","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
97,"Tackle,Defense Curl,Mud Sport,Rock Polish,Steamroller,Magnitude,Rock Throw,Rock Blast,Smack Down,Self Destruct,Bulldoze,Stealth Rock,Earthquake,Explosion,Double-Edge,Stone Edge,Heavy Slam,Iron Defense,Superpower,Thunder Punch","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4"
98,"Tackle,Defense Curl,Charge,Rock Polish,Rollout,Spark,Rock Throw,Smack Down,Thunder Punch,Self Destruct,Stealth Rock,Rock Blast,Discharge,Explosion,Double-Edge,Heavy Slam,Magnet Rise,Counter,Wild Charge","0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
